date	Francia	Germania	Italia	Spagna	Regno Unito	USA	UE28
2007	10.98404	11.99213	26.12634	17.50577	13.38564	7.21961	16.86974
2008	10.56143	11.65491	25.4523	17.56882	13.33792	7.018316	16.53978
2009	10.94749	11.59071	24.97167	16.82656	13.59319	7.093349	16.60142
2010	11.49214	11.57143	25.27772	16.67844	13.98335	7.045681	16.85178
2011	11.62862	11.66584	25.03925	16.39124	14.17804	6.83138	16.65266
2012	11.44414	11.57279	24.90821	17.30339	14.61436	6.765678	16.65836
2013	11.27241	11.19611	24.82163	17.8581	14.58038	6.606714	16.51484
2014	11.60551	10.95593	24.68129	17.59121	15.22491	6.454994	16.42335
2015	11.58949	10.75318	24.38097	17.28096	14.97865	6.456212	16.09739
2016	11.8132	10.4246	23.93636	16.94023	15.42926	6.400071	15.83083
2017	11.6434	10.19992	23.20304	16.48424	15.35856	6.262007	15.53945
2018	11.6434	10.19992	23.20304	16.48424	15.35856	6.262007	15.53945
